,wave_height,dominant_period,avg_period,dominant_wave_direction_sin,dominant_wave_direction_cos,wave_height_1.0_h,dominant_period_1.0_h,avg_period_1.0_h,dominant_wave_direction_sin_1.0_h,dominant_wave_direction_cos_1.0_h,wave_height_1.5_h,dominant_period_1.5_h,avg_period_1.5_h,dominant_wave_direction_sin_1.5_h,dominant_wave_direction_cos_1.5_h,wave_height_3.0_h,dominant_period_3.0_h,avg_period_3.0_h,dominant_wave_direction_sin_3.0_h,dominant_wave_direction_cos_3.0_h,wave_height_6.0_h,dominant_period_6.0_h,avg_period_6.0_h,dominant_wave_direction_sin_6.0_h,dominant_wave_direction_cos_6.0_h,wave_height_9.0_h,dominant_period_9.0_h,avg_period_9.0_h,dominant_wave_direction_sin_9.0_h,dominant_wave_direction_cos_9.0_h,score,wind_speed,gust_speed,wind_direction_sin,wind_direction_cos
2015-12-16 12:00:00,2.83,15.38,10.66,-0.6018150231520483,0.7986355100472928,2.88,15.38,10.77,-0.6293203910498378,0.7771459614569706,2.55,16.67,10.32,-0.529919264233205,0.8480480961564258,3.09,16.67,11.25,-0.529919264233205,0.8480480961564258,2.5,18.18,10.09,-0.4694715627858908,0.882947592858927,2.86,16.67,11.79,-0.6018150231520483,0.7986355100472928,5.946666666666666,3.6,7.979999999999999,0.9933727656003964,0.1149371504928666
2015-12-16 12:30:00,2.62,16.67,10.24,-0.4848096202463368,0.8746197071393959,2.73,15.38,10.58,-0.6819983600624983,0.7313537016191707,2.88,15.38,10.77,-0.6293203910498378,0.7771459614569706,2.82,16.67,10.69,-0.5735764363510464,0.8191520442889916,3.04,15.38,11.26,-0.6018150231520483,0.7986355100472928,2.76,16.67,11.53,-0.5000000000000004,0.8660254037844384,12.68,3.12,6.68,0.8443279255020151,0.5358267949789967
2015-12-16 13:00:00,2.82,15.38,10.68,-0.5000000000000004,0.8660254037844384,2.83,15.38,10.66,-0.6018150231520483,0.7986355100472928,2.73,15.38,10.58,-0.6819983600624983,0.7313537016191707,2.7,16.67,10.39,-0.3907311284892739,0.9205048534524404,2.78,16.67,9.97,-0.6018150231520483,0.7986355100472928,2.93,16.67,11.25,-0.544639035015027,0.838670567945424,12.556666666666667,3.22,7.2,0.9521293927421388,0.3056953049631057
2015-12-16 13:30:00,2.91,16.67,11.04,-0.4383711467890778,0.8987940462991668,2.62,16.67,10.24,-0.4848096202463368,0.8746197071393959,2.83,15.38,10.66,-0.6018150231520483,0.7986355100472928,2.55,16.67,10.32,-0.529919264233205,0.8480480961564258,2.99,16.67,10.71,-0.529919264233205,0.8480480961564258,3.11,16.67,12.14,-0.5735764363510464,0.8191520442889916,9.076666666666666,2.74,6.44,0.8443279255020151,0.5358267949789967
2015-12-16 14:00:00,2.6,15.38,9.89,-0.544639035015027,0.838670567945424,2.82,15.38,10.68,-0.5000000000000004,0.8660254037844384,2.62,16.67,10.24,-0.4848096202463368,0.8746197071393959,2.88,15.38,10.77,-0.6293203910498378,0.7771459614569706,3.15,16.67,10.93,-0.544639035015027,0.838670567945424,3.0,16.67,11.38,-0.5735764363510464,0.8191520442889916,11.55,1.94,4.68,0.9809551553491916,-0.1942343512199719
2015-12-16 14:30:00,2.55,15.38,10.14,-0.5000000000000004,0.8660254037844384,2.91,16.67,11.04,-0.4383711467890778,0.8987940462991668,2.82,15.38,10.68,-0.5000000000000004,0.8660254037844384,2.73,15.38,10.58,-0.6819983600624983,0.7313537016191707,3.3,16.67,11.88,-0.5877852522924732,0.8090169943749473,2.93,16.67,11.03,-0.5877852522924732,0.8090169943749473,11.235,1.8200000000000005,4.38,0.9999939076577904,-0.0034906514152236
2015-12-16 15:00:00,2.7,15.38,10.1,-0.4694715627858908,0.882947592858927,2.6,15.38,9.89,-0.544639035015027,0.838670567945424,2.91,16.67,11.04,-0.4383711467890778,0.8987940462991668,2.83,15.38,10.66,-0.6018150231520483,0.7986355100472928,3.09,16.67,11.25,-0.529919264233205,0.8480480961564258,2.5,18.18,10.09,-0.4694715627858908,0.882947592858927,4.685,2.64,5.82,0.8712138111201894,0.490903753615141
2015-12-17 06:00:00,2.28,14.29,8.16,-0.4848096202463368,0.8746197071393959,2.33,14.29,8.62,-0.544639035015027,0.838670567945424,2.38,13.33,8.27,-0.529919264233205,0.8480480961564258,2.27,15.38,8.11,-0.3746065934159123,0.9271838545667872,2.41,15.38,8.52,-0.5735764363510464,0.8191520442889916,2.54,14.29,8.07,-0.5877852522924732,0.8090169943749473,10.780000000000001,1.6800000000000002,3.46,0.984195607969242,0.1770847403195833
2015-12-17 06:30:00,2.26,13.33,7.69,-0.5877852522924732,0.8090169943749473,2.39,13.33,8.44,-0.544639035015027,0.838670567945424,2.33,14.29,8.62,-0.544639035015027,0.838670567945424,2.54,14.29,8.4,-0.529919264233205,0.8480480961564258,2.54,14.29,8.57,-0.5735764363510464,0.8191520442889916,2.75,15.38,8.65,-0.3907311284892739,0.9205048534524404,8.67,2.78,7.08,0.821149209133704,0.5707135676844317
2015-12-17 07:00:00,2.24,14.29,7.85,-0.544639035015027,0.838670567945424,2.28,14.29,8.16,-0.4848096202463368,0.8746197071393959,2.39,13.33,8.44,-0.544639035015027,0.838670567945424,2.35,15.38,8.32,-0.529919264233205,0.8480480961564258,2.32,15.38,8.26,-0.4383711467890778,0.8987940462991668,2.59,13.33,8.28,-0.7313537016191705,0.6819983600624986,5.5,2.42,5.96,0.9829353491495544,0.18395135061272
