#YY,MM,DD,hh,mm,WDIR,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2022,3,9,21,36,200,2.6,4.1,MM,MM,MM,MM,1018.5,26.8,25.1,MM,MM,MM,MM
2022,3,9,21,30,200,2.6,5.1,MM,MM,MM,MM,1018.7,26.5,25.1,MM,MM,MM,MM
2022,3,9,21,24,200,3.6,5.1,MM,MM,MM,MM,1018.7,26.3,25.1,MM,MM,MM,MM
2022,3,9,21,18,220,3.6,4.6,MM,MM,MM,MM,1018.8,25.9,25.1,MM,MM,MM,MM
2022,3,9,21,12,220,3.1,4.6,MM,MM,MM,MM,1018.9,25.9,25.1,MM,MM,MM,MM
2022,3,9,21,6,210,2.6,3.6,MM,MM,MM,MM,1019,25.6,25.1,MM,MM,MM,MM
2022,3,9,21,0,220,2.6,3.6,MM,MM,MM,MM,1019.1,25.5,25.1,MM,MM,0.6,MM
2022,3,9,20,54,210,3.1,3.6,MM,MM,MM,MM,1019.2,25.1,25.1,MM,MM,MM,MM
2022,3,9,20,48,220,3.1,4.1,MM,MM,MM,MM,1019.2,24.4,25.1,MM,MM,MM,MM
2022,3,9,20,42,230,3.6,4.1,MM,MM,MM,MM,1019.3,24.3,25.1,MM,MM,MM,MM
2022,3,9,20,36,230,3.6,4.1,MM,MM,MM,MM,1019.4,24.3,25,MM,MM,MM,MM
2022,3,9,20,30,230,3.6,4.1,MM,MM,MM,MM,1019.5,24.3,25,MM,MM,MM,MM
2022,3,9,20,24,230,3.6,4.1,MM,MM,MM,MM,1019.6,24.2,25,MM,MM,MM,MM
2022,3,9,20,18,230,3.6,3.6,MM,MM,MM,MM,1019.6,24.3,24.9,MM,MM,MM,MM
2022,3,9,20,12,230,3.6,3.6,MM,MM,MM,MM,1019.6,24.2,24.9,MM,MM,MM,MM
2022,3,9,20,6,230,3.1,3.6,MM,MM,MM,MM,1019.6,24.2,24.9,MM,MM,MM,MM
