#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
#yr,mo,dy,hr,mn,m,m,sec,m,sec,-,degT,-,sec,degT
2022,3,11,12,26,1.1,0.6,16.7,0.9,8.3,NW,NNE,AVERAGE,7.1,312
2022,3,11,11,56,1,0.6,16.7,0.8,8.3,NW,NE,AVERAGE,7.4,308
2022,3,11,11,26,0.9,0.5,18.2,0.8,8.3,NW,NNE,AVERAGE,7,311
2022,3,11,10,56,0.9,0.5,18.2,0.8,8.3,NW,NE,AVERAGE,6.8,310
2022,3,11,10,26,1,0.5,16.7,0.9,8.3,NW,NE,AVERAGE,6.7,34
2022,3,11,9,56,0.9,0.4,18.2,0.8,9.1,NW,NNE,AVERAGE,6.5,28
2022,3,11,9,26,0.9,0.5,18.2,0.8,8.3,WNW,NNE,AVERAGE,6.3,297
2022,3,11,8,56,1,0.5,18.2,0.8,9.1,NW,NNE,AVERAGE,6.8,27
2022,3,11,8,26,0.9,0.4,11.8,0.8,8.3,NNW,NNE,AVERAGE,6.3,20
2022,3,11,7,56,0.9,0.5,18.2,0.8,8.3,NW,NNE,AVERAGE,6.2,28
2022,3,11,7,26,1,0.5,18.2,0.9,8.3,NW,NNE,AVERAGE,6.3,18
2022,3,11,6,56,1,0.5,11.1,0.9,8.3,NW,NNE,AVERAGE,5.5,27
2022,3,11,6,26,1,0.4,12.5,0.9,9.1,NNW,NNE,AVERAGE,5.6,25
2022,3,11,5,56,0.9,0.4,11.1,0.8,9.1,NW,NNE,AVERAGE,5.6,24
2022,3,11,5,26,0.9,0.5,13.3,0.8,8.3,NNW,NNE,AVERAGE,5.5,27
2022,3,11,4,56,1,0.4,12.5,0.9,9.1,NNW,NNE,AVERAGE,5.9,23
2022,3,11,4,26,1.1,0.5,12.5,0.9,9.1,NNW,NNE,AVERAGE,5.9,30
2022,3,11,3,56,1.1,0.5,10.5,0.9,9.1,MM,NNE,AVERAGE,6,24
2022,3,11,3,26,1.1,0.4,11.8,1,9.1,N,NNE,AVERAGE,5.9,23
2022,3,11,2,56,1,0.5,10.5,0.9,9.1,NNW,NNE,AVERAGE,5.7,25
2022,3,11,2,26,1.1,0.5,11.1,1,9.1,NNW,NNE,AVERAGE,5.7,14
2022,3,11,1,56,1.1,0.5,10.5,0.9,9.1,NNW,NNE,AVERAGE,5.7,18
2022,3,11,1,26,1,0.4,10.5,0.9,9.1,NNW,NNE,AVERAGE,5.6,14
2022,3,11,0,56,1,0.5,10.5,0.9,9.1,N,NNE,AVERAGE,5.7,13
2022,3,11,0,26,1.2,0.5,10.5,1,9.1,NNW,NNE,AVERAGE,6.1,21
2022,3,10,23,56,1.1,0.5,10.5,1,9.1,N,NNE,AVERAGE,5.8,13
2022,3,10,23,26,1.1,0.5,13.3,0.9,8.3,NNW,NNE,AVERAGE,5.7,13
2022,3,10,22,56,1.1,0.5,10.5,1,9.9,NNW,N,AVERAGE,5.9,350
2022,3,10,22,26,1.1,0.5,10.5,0.9,9.1,NNW,NNE,AVERAGE,5.9,348
2022,3,10,21,56,1,0.5,10.5,0.9,8.3,MM,NNE,AVERAGE,6,13
2022,3,10,21,26,1.1,0.5,11.8,0.9,9.1,NNW,N,AVERAGE,6.7,11
2022,3,10,20,56,1.1,0.6,10.5,0.9,9.9,NNW,NNE,AVERAGE,7.1,345
2022,3,10,20,26,1.2,0.7,11.1,1,9.9,NNW,N,AVERAGE,7.7,355
2022,3,10,19,56,1.1,0.5,10.5,0.9,9.1,NNW,N,AVERAGE,7.2,9
2022,3,10,19,26,1.1,0.5,11.1,0.9,9.1,NNW,N,AVERAGE,7.4,4
2022,3,10,18,56,1.1,0.5,11.1,0.9,8.3,NNW,NNE,AVERAGE,7.4,16
