,year,event,round,heat,name,scores
105,2008,Quiksilver Pro Gold Coast,Round 3,Heat 14 ,Luke Stedman,"[6.5, 0.2, 3.83, 1.67, 2.5]"
106,2008,Quiksilver Pro Gold Coast,Round 3,Heat 15 ,Andy Irons,"[8.67, 2.0, 3.67, 9.17, 0.3, 1.17, 1.13]"
107,2008,Quiksilver Pro Gold Coast,Round 3,Heat 16 ,Kai Otton,[]
108,2008,Quiksilver Pro Gold Coast,Round 3,Heat 16 ,Luke Munro,"[3.67, 1.6, 4.83, 0.83, 8.83, 2.3, 0.47, 5.27, 5.43, 7.07, 7.5, 2.83]"
109,2008,Quiksilver Pro Gold Coast,Round 4,Heat 1 ,Bede Durbidge,"[2.67, 7.67, 8.0, 7.73, 3.83]"
110,2008,Quiksilver Pro Gold Coast,Round 4,Heat 1 ,Ben Dunn,"[5.17, 5.0, 0.5, 2.53]"
111,2008,Quiksilver Pro Gold Coast,Round 4,Heat 2 ,Joel Parkinson,"[3.33, 5.67, 8.0, 6.5]"
112,2008,Quiksilver Pro Gold Coast,Round 4,Heat 2 ,Taylor Knox,"[7.17, 3.0, 4.0, 0.67, 2.0]"
113,2008,Quiksilver Pro Gold Coast,Round 4,Heat 3 ,Dean Morrison,"[8.83, 5.33, 6.77]"
114,2008,Quiksilver Pro Gold Coast,Round 4,Heat 3 ,Jordy Smith,"[3.83, 1.4, 6.67, 0.2, 1.67, 7.67, 0.73, 2.33]"
115,2008,Quiksilver Pro Gold Coast,Round 4,Heat 4 ,Mick Fanning,"[6.0, 7.67, 2.83, 6.67, 0.23]"
116,2008,Quiksilver Pro Gold Coast,Round 4,Heat 4 ,Leonardo Neves,"[2.33, 4.67, 5.43]"
117,2008,Quiksilver Pro Gold Coast,Round 4,Heat 5 ,Adrian Buchan,"[8.67, 0.43, 7.17, 2.43]"
118,2008,Quiksilver Pro Gold Coast,Round 4,Heat 5 ,Taj Burrow,"[1.67, 0.2, 3.17, 6.83, 5.17, 4.0]"
119,2008,Quiksilver Pro Gold Coast,Round 4,Heat 6 ,Jeremy Flores,"[0.43, 7.17, 6.0, 1.93, 8.17, 3.93]"
120,2008,Quiksilver Pro Gold Coast,Round 4,Heat 6 ,Tim Reyes,"[3.67, 6.4, 1.0, 0.43, 0.87, 4.0]"
121,2008,Quiksilver Pro Gold Coast,Round 4,Heat 7 ,Kelly Slater,"[8.83, 9.67, 1.83, 0.47, 1.03, 0.83]"
122,2008,Quiksilver Pro Gold Coast,Round 4,Heat 7 ,Adriano de Souza,"[7.0, 7.83, 0.3, 9.67, 3.73]"
123,2008,Quiksilver Pro Gold Coast,Round 4,Heat 8 ,Andy Irons,"[7.0, 0.73, 1.93, 8.5]"
124,2008,Quiksilver Pro Gold Coast,Round 4,Heat 8 ,Kai Otton,"[5.67, 6.0]"
125,2008,Quiksilver Pro Gold Coast,Quarterfinal,Heat 1 ,Bede Durbidge,"[2.67, 9.33, 7.33, 4.0]"
126,2008,Quiksilver Pro Gold Coast,Quarterfinal,Heat 1 ,Joel Parkinson,"[8.67, 5.17, 0.43, 6.67, 0.27, 0.37]"
127,2008,Quiksilver Pro Gold Coast,Quarterfinal,Heat 2 ,Mick Fanning,"[1.5, 1.63, 7.67, 5.83, 6.67, 2.83]"
128,2008,Quiksilver Pro Gold Coast,Quarterfinal,Heat 2 ,Dean Morrison,"[1.0, 5.33, 0.43, 4.33, 0.3, 0.83, 2.1, 7.73, 3.0]"
129,2008,Quiksilver Pro Gold Coast,Quarterfinal,Heat 3 ,Jeremy Flores,"[0.27, 7.27, 2.0, 7.07, 8.67]"
130,2008,Quiksilver Pro Gold Coast,Quarterfinal,Heat 3 ,Adrian Buchan,"[7.33, 3.83]"
131,2008,Quiksilver Pro Gold Coast,Quarterfinal,Heat 4 ,Kelly Slater,"[5.17, 7.5, 0.83, 5.67, 1.07, 8.67, 4.17, 0.77, 5.0, 8.33, 1.63, 2.03]"
132,2008,Quiksilver Pro Gold Coast,Quarterfinal,Heat 4 ,Andy Irons,"[1.4, 2.83, 3.17, 0.43, 0.67, 6.27, 4.67]"
133,2008,Quiksilver Pro Gold Coast,Semifinal,Heat 1 ,Mick Fanning,"[7.5, 2.5, 9.0, 0.33, 3.93, 8.23]"
134,2008,Quiksilver Pro Gold Coast,Semifinal,Heat 1 ,Bede Durbidge,"[1.07, 8.17, 1.5, 4.33, 2.33, 0.37, 1.77, 1.87, 8.5, 0.87, 3.17]"
135,2008,Quiksilver Pro Gold Coast,Semifinal,Heat 2 ,Kelly Slater,"[3.83, 4.5, 3.53, 9.8, 5.67]"
136,2008,Quiksilver Pro Gold Coast,Semifinal,Heat 2 ,Jeremy Flores,"[0.83, 7.5, 7.67, 0.87, 2.1]"
137,2008,Quiksilver Pro Gold Coast,Final,Heat 1 ,Kelly Slater,"[8.67, 3.17, 9.27, 3.0, 4.83, 0.4]"
